Year,Female Court Admissions,New Offense Violators,Female Technical MSR Violators,Total Female Admissions,End of Year Population
2010,2060,146,620,2826,2922
2011,1915,86,385,2386,2865
2012,2076,97,276,2449,2885
2013,2349,137,263,2749,2915
2014,2118,129,248,2495,2888
2015,1756,102,301,2159,2638
2016,1801,108,285,2194,2615
2017,1650,62,249,1961,2279
2018,1428,88,297,1813,2335
2019,1450,78,344,1872,2264
2020,723,10,163,896,1418
2021,857,12,160,1029,1310
2022,1129,9,165,1303,1471
2023,1074,18,177,1269,1533
2024,896,4,150,1050,1461
2025,1152,6,205,1363,1653
